0,id,tweet,subtask_a,subtask_b,subtask_c
0,58548,@USER @USER Wonder if he apologized to Diamond and Silk for calling them a “minstrel show?”  He should have been fired but there he is making faces.,OFF,TIN,IND
0,34571,"""an already-debunked viral hoax"""" Tell me who decides if a meme has been debunked?? A potentially biased human has to thats who.  URL #facebook #rosetta #memes #qanon #maga URL""",OFF,TIN,IND
0,49760,"""Black Female Democrats Call for Changes in Party""""  URL #TCOT #MAGA #RedNationRising""""""",OFF,TIN,GRP
0,31511,#boom @USER maybe that book deal isnt such a good idea? #FISADeclassification #maga #QAnon #TrustSessions wow the corruption runs deep.  URL,NOT,NULL,NULL
0,98896,@USER @USER Just saw it. Still vague though. He does not confirm if he is done or not though.,OFF,TIN,IND
0,16191,@USER @USER @USER @USER shitt on Pitt - perfect for wiping the seat! URL,OFF,TIN,IND
0,30186,@USER @USER @USER I think he is on crack!,OFF,TIN,IND
0,55498,@USER @USER Tucker Carlson is not an idiot.  He knows exactly what he is doing.  That makes him malicious.,NOT,NULL,NULL
0,42133,@USER @USER @USER @USER @USER @USER You must be talking about hateful conservatives.,OFF,TIN,GRP
0,28884,@USER DANGEROUS OBNOXIOUS GARBAGE....good luck doctor,NOT,NULL,NULL
0,36836,@USER He got it 100% right He is pissing up the wall and marking his height,NOT,NULL,NULL
0,76422,@USER Folks not a protest against our great president.  This was pure and simple a way to bring on more gun control.  Weapon on campus ( gun free zone) carried a concealed weapon (illegally).  This guy just trying to cause more gun control otherwise he'd of shot himself in the head.,OFF,TIN,IND
0,49813,@USER She is such a witch.  All she needs is a broom,OFF,TIN,IND
0,98709,@USER @USER @USER @USER Kick the absolute shite out of the car.,OFF,TIN,OTH
0,94554,@USER You are a Communist state controlled newspaper.   Very much like #ANTIFA would love to see.   And your country executes people who dissent with your support.   Enough said.   Get off my twitter stream,OFF,TIN,IND
0,73021,@USER Conservatives just keep doubling down on being terrible people.,OFF,TIN,GRP
0,80103,@USER He tihnks he is telling the big lie.,OFF,UNT,NULL
0,65405,@USER Dianne Feinstein disagrees. She effectively called the woman a liar,NOT,NULL,NULL
0,73488,@USER @USER He is a disgrace he needs to resign or the citizens of Maricopa County need to start a recall.  If he FUBAR’s the General Election that should be it. No waiting until 2020.,OFF,TIN,IND
0,60824,@USER Holder is responsible for selling guns to the Mexican cartel. Just another Obama administration law breaker.,OFF,TIN,OTH
0,40159,@USER LIBERALS hear the sucking sound of the SWAMP,NOT,NULL,NULL
0,38764,@USER @USER The right has the unique ability to create monsters out of thin air. It Legislation was even created to fight the phantom menance of antifa--currently in committee.  URL,OFF,TIN,IND
0,84950,@USER @USER @USER @USER Yes. Yes he is!,OFF,UNT,NULL
0,34378,""",...Criminal Complicity in ALL OF THIS MESS! --- Last night, Mr. Gregg Jarrett appeared on Hannity""""!,...He is Always Incredible, and He made Another Great point when He reminded All Of US that """"Starting an illegitimate Investigation is a Crime""""! ---  TRUTH IS COMING OUT MUELLER!""""""",OFF,TIN,IND
0,12310,"""@USER Conservatives who quit rather than fight betray every claim that cons are patriots"""" &amp; """"will fight for our Constitution."""" It reveals extremism &amp; defeatism at once. Dems KNOW they will win if they stick together. History PROVES it.""""""",OFF,TIN,GRP
0,46830,@USER @USER You know it's a good tyr impression when there's a fat typo in it,NOT,NULL,NULL
0,27503,"""@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."""" and the rest standin there like """"....nope he is no suffering"""" """"so he is dead!"""" """"...yeah, pretty dead""""""""""",NOT,NULL,NULL
0,71895,"""A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."""" URL #MAGA #tcot""""""",NOT,NULL,NULL
0,84594,.@USER If his Constituents support him they are as craven as he is. If they don't they need to VOTE HIM OUT! URL,OFF,TIN,GRP
0,63140,@USER @USER Sending commiserations to you for those Cardinal losses with this brioche cinnamon roll picture. URL,OFF,TIN,IND
0,86958,@USER Good!!! This will surely show us how croocked he is. 😂😂😂,OFF,TIN,IND
0,73702,@USER @USER Don't really need to try and out virtue signal the liberals. Not wasting taxpayer dollars on foriegn invaders is enough of an argument.,NOT,NULL,NULL
0,91447,@USER @USER 🤣🤣🤣🤣🤣🤣🤣🤣 Deep Throat,OFF,UNT,NULL
0,76807,. @USER @USER @USER @USER Fake conservatives and their fake outrage over the budget betrayal URL URL,OFF,TIN,GRP
0,41563,@USER This is so entertaining. Nobody has thought about Montel in years... and you are picking a fight with him. This is incredible. Such a feeble mind you have.,OFF,TIN,IND
0,92670,@USER @USER He is seething!! You can see it in his eyes and hear it in his voice!! Obama was a failed president in every sense of the word! #MAGA #KAG 🚂🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,OFF,TIN,IND
0,70164,@USER @USER @USER Well that's going to send the fake makers of main stream media and the left liberals and the powers behind them nuclear. Amazingly powerful world changing moment in humanitys history. #qanon it's everything we've been told to expect! #WWG1WGA #MAGA #MBGA,OFF,TIN,GRP
0,69822,@USER @USER G this a MAGA ass take 😂😂😂😂😂😂,NOT,NULL,NULL
0,84202,@USER Yeahhhhh I will admit to being a Destiny 1 Cayde Liker but God they just made him suck in 2!,OFF,TIN,OTH
0,99087,@USER “Yes. No one should make threats.” Really? What happens with @USER and her call for assassination of @USER ? Of #antifa Or the great damage done on inauguration day. Or Parkland &lt;&lt; trained by Obama policies. Or Scalise near “hit?” Go home Swalwell,NOT,NULL,NULL
0,69004,@USER @USER (She is clearly agitated in a defensive stance) Shit- what is she doing here,OFF,TIN,IND
0,57812,@USER Its a hail mary pass to show her constituents that she is fighting so that she can get reelected. I think this will backfire against  Democrats. I hope you all watched Justice Ginsburg &amp; Thomas one C-Span saying that this nomination is a ridiculous display against a qualified man,NOT,NULL,NULL
