0,id,tweet,subtask_a,subtask_b,subtask_c
0,68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,OFF,TIN,IND
0,43619,""".....""""  And he is shuting up.  Don't mess with Yumi. Don't ever mess with Ms. Yuzuki.""""""",OFF,TIN,IND
0,99677,@USER The #metoo movement has turned out just the way black lives matter and Antifa turned out. Started out as a worthy cause and then ruined by a bunch of bandwagonists. More harm than good.,NOT,NULL,NULL
0,37881,@USER He is the worst person.,OFF,TIN,IND
0,72803,@USER you are a DISGRACE,OFF,TIN,IND
0,93549,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 😁TeleSmokaCatin'  damn that looked better in my head😁😉🤣😎,OFF,UNT,NULL
0,69659,@USER Do not think so maybe do a little research buddy!,OFF,TIN,OTH
0,42219,"""@USER There are deals on Mexico EU trade and other trade deals.  We don't need or want a gun control deal or a Climate"""" deal""""""",OFF,UNT,NULL
0,37828,@USER She is by far the most pretentious little try-hard housemate in there this year. So cringeworthy. #BBUK,OFF,TIN,IND
0,81420,@USER @USER Liberals didn't want to hear from Juanita Broderick.  She was ignored. Liberals don't want to hear from Keith Ellison's accuser.  Double Standard,OFF,TIN,IND
0,27148,@USER @USER @USER She’s confused after all she is only a poor struggling socialist,OFF,TIN,IND
0,62457,@USER @USER Jesus she is the evilest of cunts,OFF,TIN,IND
0,10424,@USER @USER @USER Really? It’s been the Dems that have been behind all violence from mass murderers to confrontations to antifa. Wake up,NOT,NULL,NULL
0,47148,@USER @USER @USER I don’t think he is a sociopath.  I think he knows what he did and he knows he is lying.,NOT,NULL,NULL
0,96180,@USER @USER @USER How convenient a conservative dummy believes people are selectively unemployed.Conservatives always try to use this type of propaganda. No facts!Just their warped conservative beliefs. It’s very clear.Many conservatives like @USER don’t have the ability to learn or think,OFF,TIN,GRP
0,28884,@USER DANGEROUS OBNOXIOUS GARBAGE....good luck doctor,NOT,NULL,NULL
0,12223,@USER ANCIENT HOMIES COULDNT HAVE COCK COCKS FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,OFF,TIN,GRP
0,43057,"""@USER @USER The racist excuse every time telling it like it is"""" """"against being PC"""" URL""",NOT,NULL,NULL
0,93754,@USER He is so brutal. Hopefully he sells the team...,OFF,TIN,IND
0,78611,@USER @USER @USER @USER @USER @USER So the first thing you do is put the black guy up and call out that we are using the race card. Shows how racist you are. Maybe put a Latino or woman up next.,OFF,TIN,IND
0,30411,@USER A black  hobag,OFF,TIN,GRP
0,74696,@USER Shit jamming Ju,NOT,NULL,NULL
0,36206,@USER @USER @USER Please stop! You're making it TOO EASY for right-wing conservatards to mock those of us on the Left! #NotHelping,OFF,TIN,IND
0,75876,@USER Billy bargain 👍,OFF,TIN,IND
