0,id,tweet,subtask_a,subtask_b,subtask_c
0,18688,@USER 👌🏻 I’ve never seen anyone talk like that on Twitter before and I’ve seen some really messed up shit,OFF,TIN,GRP
0,77539,@USER Liberals are dangerous. They'll say and do anything to push their agenda. The victims are judge Kavanaugh's wife and daughters.,NOT,NULL,NULL
0,67144,@USER Maxine is just a mean spirited woman. I can't imagine the demons she is dealing with to have that much hate &amp; craziness in her. #CrazyMaxine,OFF,TIN,IND
0,70414,@USER Disgusting.  He is going down and taking the whole church with him.  My God.,NOT,NULL,NULL
0,11325,@USER @USER Capitalism has killed more than that since 2000,NOT,NULL,NULL
0,25533,@USER Not really. Gun control limits one capability to personally safety. It makes it even harder for good people to buy guns legally. It will even make it hard for women to obtain guns for self defense. Just keep a simple background check system we already have.,OFF,TIN,IND
0,43602,@USER @USER She’s a class act isn’t she. Kim the 2nd,NOT,NULL,NULL
0,48185,@USER I do not know who these POS Nazi Liberals are &amp; don't care to know.   Everyone of the Hollywood elite can &amp; prob will go to he!!.,OFF,TIN,GRP
0,29727,"""@USER If the media stop reporting what happens on The View"""" perhaps it will disappear from view. If  Conservative America wanted to know what those imbalanced voices had to say we would watch it. The rest of us are busy watching the sidewalk for poop put there by Hollywood liberals.""""""",OFF,TIN,GRP
0,72490,@USER Liberals have the numbers and money. Conservatives would get smoked. Kansas alone gets beat inside of 2 hours.,OFF,TIN,GRP
0,23195,@USER So then your saying the @USER platform of gun control and reform is nothing for them to worry about? Kind of like #Kavanaugh is going to kill women and Gays?,OFF,TIN,IND
0,50151,@USER All we ever hear from Hillary is beeching &amp; moaning.  Dang ! That witch never get tired of complaining!,OFF,TIN,IND
0,51617,@USER THIS IS SO FUCKINGNDBS FUNNYHEJS,OFF,UNT,NULL
0,51521,@USER I do not need a female packing a weapon for my protection. Not my kind of girl. If you need that much protection You are in the wrong place.,OFF,TIN,IND
0,96316,"""@USER @USER @USER @USER @USER @USER @USER @USER @USER Nobody is greek"""", that nation was lost, if it ever existed at all.. You are Subsaharan.""""""",NOT,NULL,NULL
0,48474,@USER and @USER @USER  @USER is inciting VIOLENCE towards Trump supporters on lists to be targeted by ANTIFA.,OFF,TIN,GRP
0,65105,@USER yeah it start with her being a blogger and all but somehow it turned into a murder fan fiction,OFF,UNT,NULL
0,97578,@USER If that was my missus horse he’d fuck right off and have us chasing him like bell ends,OFF,TIN,IND
0,27675,"""@USER @USER @USER She's  no poor thing"""". She's an antifa protester with many ties to the DNC.   She's a Trump hater. Donated to HRC.  She didn't just """"appear"""" out of the blue.  Cracks me up how naive people are.  Toughen up America! These are lying leftists intent on destroying our democracy!""""""",NOT,NULL,NULL
0,25384,@USER Djt &amp; Gop- MAGA. Only for old scared white men again. Making women property again.,OFF,TIN,GRP
0,33983,(Albert)  Conservatives are spreading the lie Anderson Cooper faked a hurricane... URL,OFF,TIN,IND
0,46757,@USER Keep up the good work while the liberals waste time crying and pointing the country moves closer to greatness again! MAGA,OFF,TIN,IND
0,22175,@USER @USER IM THAT GIRL THAT SAID “WHAT THE FUCK” — NAH I WISH I HAD THE MONEY FOR THAT CONCERT BUT THATD BE MY REACTION TOO LMAO,OFF,TIN,IND
0,96047,@USER @USER @USER @USER @USER Private companies don't give a toss about anything but profit. It's in their terms. They have no choice. It's what bizzniss is.  The trouble comes when Randian deludes out for a directorship decide to ignore everyone else in the country and create an artificial market for health.,NOT,NULL,NULL
0,53566,@USER @USER you should probably start reading your Bible hun.,NOT,NULL,NULL
0,76826,"""@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""""..right now U know SQUAT about either..""""""",NOT,NULL,NULL
0,83506,@USER try meditation and breathing techniques!,NOT,NULL,NULL
0,43105,@USER THIS IS A NO BRAINER.  IF SHE STANDS FOR WHAT SHE SAYS SHE DOES SHE HAS TO VOTE AGAINST HIM   IF SHE IS LYING SHE DESERVES TO BE HUMILIATED AND DEFEATED.  WE WILL SEE IF SHE PLAYED THE PRO CHOICE CAED TO GET ELECTED OR IF SHE IS JUST ANOTHER GOPER KOCHSUCKER,OFF,TIN,IND
0,66982,@USER @USER That is just awful ! He never was much anyway! A grown man acting like that; a bully ! Best to you and hubby Mark ! MAGA 🇺🇸,OFF,TIN,IND
0,87417,"""@USER The killer was shot and wounded by one of several armed civilians"""".  Did you hear that?  Yes, I am talking to you gun control advocates!!! Not all Americans appreciate how privileged they are to have 1st and 2nd amendments.""""""",NOT,NULL,NULL
0,40154,INTERRUPTING HIS HEARING AT EVERY TURN! BUT THATS OK HE IS A MAN AND CAN TAKE IT! AT LEAST HE WILL REMEMBER WHO WHAT WHEN AND WHERE HE WAS! AFTER THIS KAVANAUGH WILL HAVE DEFINITELY EARNED HIS STRIPES TO SCOTUS!  MAGA!,OFF,TIN,IND
0,28698,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't understand your logic. Anyways this is going nowhere. This to me is not acceptable. Maybe you are ok with it.  URL,OFF,TIN,IND
0,18460,@USER @USER @USER @USER @USER @USER @USER @USER Fair point - let me restate: (many) liberals *tend* towards using evidence of prejudice and discrimination as a justification for treating distinction between citizens and migrants as arbitrary.,NOT,NULL,NULL
0,35552,@USER They really don't care who he is. Only that he will act as a judicial alt right operative on the Supreme Court.,NOT,NULL,NULL
0,86171,@USER @USER @USER Nobody does racism like the @USER 😮,NOT,NULL,NULL
0,22185,@USER @USER @USER i have heard he is making waves,OFF,TIN,IND
0,32744,"""@USER I doubt if he is afraid of France , but he is being hammered by the left here everyday.  We think it's France """" behind the genocide secretly for investments ? They sure are silent !!!  Not the ordinary French people , the global elites and banks .  My guess is you will get help""""""",NOT,NULL,NULL
0,38487,@USER Is it gun control OR anti 2a?  I haven’t seen a single ad attacking 2a.  That’s just @USER rhetoric to create fear.,OFF,TIN,GRP
0,82730,@USER @USER @USER I have been thinking about it and it's not inconceivable that someone was trying to meddle with people's minds regarding gun control. I am double-minded about the use of arms because I am a peacemaker. Shoot once and you could start a big war. &gt;2,OFF,UNT,NULL
0,83018,@USER @USER Invite @USER to all of the @USER shows and let her tell you about her interview with Brock Long. Then you will know why #Cult45Politburo sounds so unhinged. He is parroting the FEMA admins line of BS. @USER tried to fight back against Long's BS,OFF,TIN,GRP
0,32210,@USER @USER that's hilarious.... let those #PuertoRicans legalize pot so they can forget about their problems after #HurricaneMaria...🇺🇸💵😏🤣  #ThursdayThoughts #ThursdayMotivation #resistance #resist #MAGA #Military #veterans #TCOT #ThisIsAmerica URL,OFF,TIN,OTH
0,61935,"""@USER She is like one of those bag ladies"""" you see on the street or a bus, mumbling, cursing out loud, talking to herself or anyone that will listen. Please, GO AWAY! URL""",NOT,NULL,NULL
0,68767,@USER Proud. Shit is fire no matter what weather you’re in. No matter if your house temperature is high or low. Everyone’s just too pussy to get in the water for 1 min. Cuz after that you get used to the temp,OFF,UNT,NULL
0,61942,@USER A quick way to get yourself killed.  Thanks Antifa!,OFF,TIN,IND
0,55967,@USER @USER @USER Restricting ammo is infringing upon right to bear arms. How about women can have abortions but restricted to 1-3rd week of pregnancy and must be registered Easy test of gun control laws - apply them to other rights to see if they’d be supported. If not then they are bad,OFF,TIN,GRP
0,62840,@USER @USER You’d also know this isn’t about women at all b/c Democrats don’t call for justice for women assaulted by Democrats when there is both evidence of injury &amp; police reports. You’d know Dems only demand conservatives be found guilty upon accusation. You’d know this is all political. URL,OFF,TIN,IND
0,29634,@USER #JustSayin’ what the majority is thinking. More #FakeOutrage &amp; #Lies from the #LunaticLeft. Never seen so many sore losers throwing temper-tantrums for almost 2 years now. Embarrassing! #MAGA🇺🇸 URL,OFF,TIN,GRP
0,39906,@USER @USER you're talking about the Clintons.,NOT,NULL,NULL
0,98793,5.10am Still a crowd at Queens Park protesting the conservatives middle of the night power grab. Shame on the conservatives! What kind of party creates chaos during an election? Rather than working with their citizens to create a healthy economy? @USER #ONpoli,OFF,TIN,GRP
0,61581,@USER @USER @USER @USER @USER @USER Because that’s how it works in sports when you chose to represent a country that is the country you are known for when playing that sport or for achievements in that sport they’re not taking away from her Haitian heritage they’re just using the country she represents in the sport,NOT,NULL,NULL
0,50994,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all Patriots 🇺🇸 #MAGA,NOT,NULL,NULL
0,51053,10kids from different women from this American jobless men? Nigerian men you are the bomb!!!,OFF,TIN,OTH
0,38109,@USER what the fuck do you gain from posting on your private instead of your public,NOT,NULL,NULL
0,22728,@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL,OFF,TIN,GRP
0,78807,@USER @USER @USER @USER time for MAGA to flip it! 🤗,OFF,TIN,IND
0,76758,@USER @USER @USER @USER Anonymous profile pic with 16 followers defending Trump. See that a lot on his threads. Whoever you are you have no idea if they're prepared or not. 2900+ people died in PR from their lack of preparedness and response after the damage. ICE doesn't need $10M more to cage children.,NOT,NULL,NULL
